symbol,exchange,quoteType,is_primary,is_etf,is_adr,is_otc,security_type
AMST,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMT,NYSE,EQUITY,1,0,0,0,Common Stock
AMTB,NYSE,EQUITY,1,0,0,0,Common Stock
AMTD,NYSE,EQUITY,1,0,0,0,Common Stock
AMTM,NYSE,EQUITY,1,0,0,0,Common Stock
AMTX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMWD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMWL,NYSE,EQUITY,1,0,0,0,Common Stock
AMX,NYSE,EQUITY,1,0,0,0,Common Stock
AMZN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AN,NYSE,EQUITY,1,0,0,0,Common Stock
ANAB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANDE,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANDG,NYSE,EQUITY,1,0,0,0,Common Stock
ANEB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANET,NYSE,EQUITY,1,0,0,0,Common Stock
ANF,NYSE,EQUITY,1,0,0,0,Common Stock
ANGH,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANGI,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANGO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANGX,NYSE,EQUITY,1,0,0,0,Common Stock
ANIK,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANIP,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANIX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANL,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANNA,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANNX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANPA,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANRO,NYSE,EQUITY,1,0,0,0,Common Stock
ANSC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANTA,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANTX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ANVS,NYSE,EQUITY,1,0,0,0,Common Stock
ANY,NASDAQ,EQUITY,1,0,0,0,Common Stock
AOMR,NYSE,EQUITY,1,0,0,0,Common Stock
AON,NYSE,EQUITY,1,0,0,0,Common Stock
AORT,NYSE,EQUITY,1,0,0,0,Common Stock
AOS,NYSE,EQUITY,1,0,0,0,Common Stock
AOSL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AOUT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AP,NYSE,EQUITY,1,0,0,0,Common Stock
APA,NASDAQ,EQUITY,1,0,0,0,Common Stock
APAC,NASDAQ,EQUITY,1,0,0,0,Common Stock
APAD,NASDAQ,EQUITY,1,0,0,0,Common Stock
APAM,NYSE,EQUITY,1,0,0,0,Common Stock
APD,NYSE,EQUITY,1,0,0,0,Common Stock
APEI,NASDAQ,EQUITY,1,0,0,0,Common Stock
APG,NYSE,EQUITY,1,0,0,0,Common Stock
APGE,NASDAQ,EQUITY,1,0,0,0,Common Stock
APH,NYSE,EQUITY,1,0,0,0,Common Stock
API,NASDAQ,EQUITY,1,0,0,0,Common Stock
